Case Name,Status,Progress,Summary,State,Bill Information Link,Last Activity Date,Representatives to Contact,Sponsors,Category,Yea Votes,Nay Votes
MT HB112,Passed,Passed,"This bill requires schools to classify all of their sports as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans athletes whose ""biological sex"" is male from participating in female, women, or girls sports. There is no explanation given for how “biological sex” should be defined or determined. The requirements in this bill apply to interscholastic, intercollegiate, intramural, or club athletic teams or sports that are sponsored by a public elementary or high school, a public institution of higher education, or any school or institution whose students or teams compete against a public school or institution of higher education. Students can sue the educational institution if they can claim they were harmed or lost some opportunity as a result of violations of this bill. If any section of this bill is declared illegal or invalid, all other sections of the bill will remain in effect.",Montana,https://legiscan.com/MT/bill/HB112/2021,5/7/2021,,John Fuller,Sports,"Llew Jones, Jill Cohenour, Edie Mcclafferty, Mary Caferro, Jonathan Windy Boy, Sharon Stewart Peregoy, Dan Salomon, Frank Smith, Ed Buttrey, Ellie Boldman, Joe Read, Ryan Lynch, Jeff Welborn, Dennis Lenz, Denise Hayman, Katharin Kelker, Mary Ann Dunwell, Willis Curdy, Susan Webber, Janet Ellis, Andrea Olsen, Wendy McKamey, Mark Noland, Christopher Pope, Jedediah Hinkle, Tom Welch, Kim Abbott, Dave Fern, Jim Hamilton, Denley Loge, Jen Gross, Laurie Bishop, Fred Anderson, Dan Bartel, Becky Beard, Ross Fitzgerald, Steve Gunderson, Casey Knudsen, Shane Morigeau, Walt Sales, Lola Sheldon-Galloway, Jeremy Trebas, Barry Usher, Sue Vinton, Jason Small, Matt Regier, Russ Tempel, Pat Flowers, Terry Moore, David Bedey, Julie Dooling, Katie Sullivan, Marilyn Marler, Bruce (Butch) Gillespie, John Fuller, Josh Kassmier, Neil Duram, Derek Harvey, Connie Keogh, Emma Kerr-Carpenter, Rhonda Knudsen, Bill Mercer, Tyson Running Wolf, Steve Gist, Marta Bertoglio, Mike Fox, Gregory Frazer, Jane Gillette, Kerri Seekins-Crowe, Donavon Hawk, Kenneth Walsh, Ed Stafman, Marty Malone, Ron Marshall, Braxton Mitchell, Jennifer Carlson, Linda Reksten, Fiona Nave, Jerry Schillinger, Michele Binkley, Larry Brewster, Alice Buckley, Paul Fielder, Tom France, Steven Galloway, Caleb Hinkle, Scot Kerns, Kelly Kortum, Brandon Ler, Bob Phalen, Amy Regier, Mark Thane, Katie Zolnikov, Shannon O'Brien","Tom Mcgillvray, John Esp, Steve Fitzpatrick, Keith Regier, Mike Cuffe, Greg Hertz, Carl Glimm, Mike Lang, Theresa Manzella, Bob Brown, Bob Keenan, Mike Hopkins, Steve Hinebauch, Jason Ellsworth, Kenneth Bogner, Chris Friedel, Brad Molnar"
MT HB121,Passed,Passed,"This bill prohibits people from entering bathrooms, changing rooms, and sleeping quarters that do not correspond to their sex assigned at birth in correctional centers, juvenile detention facilities, domestic violence programs, public buildings, and public schools. In this bill, ""sex"" is defined by the person's chromosomes and capacity to produce sperm or ova—or their theoretical capacity to do so. This bill would allow a person who encounters a trans person using the bathroom or changing room that corresponds to their gender identity to sue the school or facility. A person could also sue a facility or program for allowing a trans person to sleep in the same space as them in sleeping quarters that correspond to their gender identity.",Montana,https://legiscan.com/MT/bill/HB121/2025,3/27/2025,,Kerri Seekins-Crowe,"Bathrooms,Student Suppression",,
MT HB234,Passed,Passed,"This law makes ""obscenity"" a crime, occurring when a person allows a minor to see obscene material. Obscene material includes representation of ""perverted"" sexual acts and those which ""appeal to the prurient interest,"" which is language commonly used in anti-drag and anti-public performance legislation.",Montana,https://legiscan.com/MT/bill/HB234/2023,5/1/2023,,Bob Phalen,Book Ban,"Llew Jones, Edie Mcclafferty, Tom Mcgillvray, Edward Butcher, John Esp, Steve Fitzpatrick, Dan Salomon, Keith Regier, Mike Cuffe, Ed Buttrey, Joe Read, Greg Hertz, Jeff Welborn, Carl Glimm, Mike Lang, Dennis Lenz, Daniel Zolnikov, Wendy McKamey, Forrest Mandeville, Theresa Manzella, Mark Noland, Bob Brown, Jedediah Hinkle, Bob Keenan, Tom Welch, Denley Loge, Fred Anderson, Dan Bartel, Becky Beard, Ross Fitzgerald, Steve Gunderson, Mike Hopkins, Walt Sales, Lola Sheldon-Galloway, Jeremy Trebas, Barry Usher, Sue Vinton, Steve Hinebauch, Jason Small, Matt Regier, Russ Tempel, Terry Moore, David Bedey, Julie Dooling, Bruce (Butch) Gillespie, John Fuller, Josh Kassmier, Neil Duram, Rhonda Knudsen, Bill Mercer, Jason Ellsworth, Kenneth Bogner, Steve Gist, Marta Bertoglio, Jane Gillette, Kerri Seekins-Crowe, Kenneth Walsh, Marty Malone, Ron Marshall, Braxton Mitchell, Jennifer Carlson, Linda Reksten, Fiona Nave, Jerry Schillinger, Michele Binkley, Larry Brewster, Paul Fielder, Steven Galloway, Caleb Hinkle, Scot Kerns, Brandon Ler, Bob Phalen, Amy Regier, Katie Zolnikov, Chris Friedel, Brad Molnar, Sherry Essmann, Mike Yakawich, George Nikolakakos, James Bergstrom, Greg Oblander, Tony Brockman, Gary Parry, Greg Kmetz, Nelly Nicol, Paul Green, Terry Falk, John Fitzpatrick, Brad Barker, Jodee Etchart, Russ Miner, Courtenay Sprunger, Daniel Emrich, Wayne Rusk, Shelley Vance, Lyn Hellegaard, Lee Deming, Tanner Smith, Zachary Wirth, Terry Vermeire, Naarah Hastings","Jill Cohenour, Mary Caferro, Jonathan Windy Boy, Sharon Stewart Peregoy, Frank Smith, Ellie Boldman, Ryan Lynch, Denise Hayman, Katharin Kelker, Mary Ann Dunwell, Willis Curdy, Susan Webber, Janet Ellis, Andrea Olsen, Christopher Pope, Kim Abbott, Dave Fern, Jim Hamilton, Jen Gross, Laurie Bishop, Casey Knudsen, Shane Morigeau, Pat Flowers, Katie Sullivan, Marilyn Marler, Derek Harvey, Connie Keogh, Emma Kerr-Carpenter, Tyson Running Wolf, Mike Fox, Gregory Frazer, Donavon Hawk, Ed Stafman, Alice Buckley, Tom France, Kelly Kortum, Mark Thane, Shannon O'Brien, Jennifer Lynch, Paul Tuss, Denise Baum, Bob Carter, SJ Howell, Jonathan Karlen, Melissa Romano, Laura Smith, Eric Matthews, Zooey Zephyr"
MT HB303,Passed,Passed,"This bill allows companies or health care practitioners to refuse any medical treatment without consequence so long as they claim it “violates” their “conscience.” The bill specifically refers to abortion, but it also includes “any health care service” that a health care institution or health care provider says “violates” their “conscience,” which could include trans health care. This bill also includes free speech protections to prevent licensing boards from taking action against a medical provider who refuses care based on their “conscience.” ",Montana,https://legiscan.com/MT/bill/HB303/2023,5/5/2023,,Amy Regier,Health Care,"Llew Jones, Tom Mcgillvray, Edward Butcher, John Esp, Steve Fitzpatrick, Keith Regier, Mike Cuffe, Greg Hertz, Carl Glimm, Mike Lang, Dennis Lenz, Daniel Zolnikov, Wendy McKamey, Forrest Mandeville, Theresa Manzella, Mark Noland, Bob Brown, Jedediah Hinkle, Bob Keenan, Tom Welch, Denley Loge, Fred Anderson, Dan Bartel, Becky Beard, Steve Gunderson, Casey Knudsen, Walt Sales, Lola Sheldon-Galloway, Jeremy Trebas, Barry Usher, Sue Vinton, Steve Hinebauch, Jason Small, Matt Regier, Russ Tempel, Terry Moore, David Bedey, Julie Dooling, Bruce (Butch) Gillespie, John Fuller, Josh Kassmier, Neil Duram, Rhonda Knudsen, Bill Mercer, Jason Ellsworth, Kenneth Bogner, Steve Gist, Marta Bertoglio, Jane Gillette, Kerri Seekins-Crowe, Kenneth Walsh, Marty Malone, Ron Marshall, Braxton Mitchell, Jennifer Carlson, Linda Reksten, Fiona Nave, Jerry Schillinger, Michele Binkley, Larry Brewster, Paul Fielder, Steven Galloway, Caleb Hinkle, Scot Kerns, Brandon Ler, Bob Phalen, Amy Regier, Katie Zolnikov, Chris Friedel, Brad Molnar, Sherry Essmann, Mike Yakawich, George Nikolakakos, James Bergstrom, Greg Oblander, Tony Brockman, Gary Parry, Greg Kmetz, Nelly Nicol, Paul Green, Terry Falk, John Fitzpatrick, Brad Barker, Jodee Etchart, Russ Miner, Courtenay Sprunger, Daniel Emrich, Wayne Rusk, Shelley Vance, Lyn Hellegaard, Lee Deming, Tanner Smith, Zachary Wirth, Naarah Hastings","Jill Cohenour, Edie Mcclafferty, Mary Caferro, Jonathan Windy Boy, Sharon Stewart Peregoy, Dan Salomon, Frank Smith, Ed Buttrey, Ellie Boldman, Ryan Lynch, Jeff Welborn, Denise Hayman, Katharin Kelker, Mary Ann Dunwell, Willis Curdy, Susan Webber, Janet Ellis, Andrea Olsen, Christopher Pope, Kim Abbott, Dave Fern, Jim Hamilton, Jen Gross, Laurie Bishop, Ross Fitzgerald, Mike Hopkins, Shane Morigeau, Pat Flowers, Katie Sullivan, Marilyn Marler, Derek Harvey, Connie Keogh, Tyson Running Wolf, Mike Fox, Gregory Frazer, Donavon Hawk, Ed Stafman, Alice Buckley, Tom France, Kelly Kortum, Mark Thane, Shannon O'Brien, Jennifer Lynch, Paul Tuss, Denise Baum, Bob Carter, SJ Howell, Jonathan Karlen, Melissa Romano, Laura Smith, Eric Matthews, Terry Vermeire"
MT HB359,Passed,Injuncted,"This bill categorizes any drag performance as a “sexually oriented show.” In this bill, a drag performance is defined as one in which a performer ""flamboyantly or parochially exhibits a gender identity that is different than the performer's gender assigned at birth using clothing, makeup, or other accessories.” It also bans any “sexually oriented show” on public property or in any location where the performance could be viewed by a minor. A minor or the parents of an attending minor of such a show can sue the performer as well as anyone promoting the show. If any given section of this bill is found to be illegal, the rest of the bill remains in effect.",Montana,https://legiscan.com/MT/bill/HB359/2023,5/22/2023,,Braxton Mitchell,Drag,"Llew Jones, Tom Mcgillvray, Edward Butcher, John Esp, Steve Fitzpatrick, Keith Regier, Mike Cuffe, Ed Buttrey, Joe Read, Greg Hertz, Carl Glimm, Mike Lang, Dennis Lenz, Daniel Zolnikov, Forrest Mandeville, Theresa Manzella, Mark Noland, Bob Brown, Jedediah Hinkle, Bob Keenan, Denley Loge, Fred Anderson, Dan Bartel, Becky Beard, Ross Fitzgerald, Steve Gunderson, Mike Hopkins, Lola Sheldon-Galloway, Jeremy Trebas, Barry Usher, Sue Vinton, Steve Hinebauch, Jason Small, Matt Regier, Terry Moore, David Bedey, Julie Dooling, Bruce (Butch) Gillespie, John Fuller, Josh Kassmier, Neil Duram, Rhonda Knudsen, Bill Mercer, Jason Ellsworth, Kenneth Bogner, Steve Gist, Marta Bertoglio, Jane Gillette, Kerri Seekins-Crowe, Marty Malone, Ron Marshall, Braxton Mitchell, Jennifer Carlson, Linda Reksten, Jerry Schillinger, Michele Binkley, Larry Brewster, Paul Fielder, Steven Galloway, Caleb Hinkle, Scot Kerns, Brandon Ler, Bob Phalen, Amy Regier, Katie Zolnikov, Chris Friedel, Brad Molnar, Sherry Essmann, Mike Yakawich, George Nikolakakos, James Bergstrom, Greg Oblander, Tony Brockman, Gary Parry, Greg Kmetz, Nelly Nicol, Paul Green, Terry Falk, John Fitzpatrick, Brad Barker, Jodee Etchart, Russ Miner, Courtenay Sprunger, Daniel Emrich, Wayne Rusk, Shelley Vance, Lyn Hellegaard, Lee Deming, Tanner Smith, Zachary Wirth, Terry Vermeire, Naarah Hastings","Jill Cohenour, Edie Mcclafferty, Mary Caferro, Jonathan Windy Boy, Sharon Stewart Peregoy, Dan Salomon, Frank Smith, Ellie Boldman, Ryan Lynch, Jeff Welborn, Denise Hayman, Katharin Kelker, Mary Ann Dunwell, Willis Curdy, Susan Webber, Janet Ellis, Andrea Olsen, Wendy McKamey, Christopher Pope, Tom Welch, Kim Abbott, Dave Fern, Jim Hamilton, Jen Gross, Laurie Bishop, Casey Knudsen, Shane Morigeau, Walt Sales, Russ Tempel, Pat Flowers, Katie Sullivan, Marilyn Marler, Derek Harvey, Connie Keogh, Emma Kerr-Carpenter, Mike Fox, Donavon Hawk, Kenneth Walsh, Ed Stafman, Alice Buckley, Tom France, Kelly Kortum, Mark Thane, Shannon O'Brien, Jennifer Lynch, Paul Tuss, Denise Baum, Bob Carter, SJ Howell, Jonathan Karlen, Melissa Romano, Laura Smith, Eric Matthews, Zooey Zephyr"
MT HB361,Passed,Passed,"This bill says that to deliberately misgender and deadname a student is not considered discrimination, and thus cannot be prevented.",Montana,https://legiscan.com/MT/bill/HB361/2023,4/26/2023,,Brandon Ler,Student Suppression,"Llew Jones, Tom Mcgillvray, Edward Butcher, John Esp, Steve Fitzpatrick, Keith Regier, Mike Cuffe, Ed Buttrey, Joe Read, Greg Hertz, Carl Glimm, Mike Lang, Dennis Lenz, Daniel Zolnikov, Wendy McKamey, Forrest Mandeville, Theresa Manzella, Mark Noland, Bob Brown, Jedediah Hinkle, Bob Keenan, Tom Welch, Denley Loge, Fred Anderson, Dan Bartel, Becky Beard, Ross Fitzgerald, Steve Gunderson, Mike Hopkins, Casey Knudsen, Walt Sales, Lola Sheldon-Galloway, Jeremy Trebas, Barry Usher, Sue Vinton, Steve Hinebauch, Jason Small, Matt Regier, Terry Moore, David Bedey, Julie Dooling, Bruce (Butch) Gillespie, John Fuller, Josh Kassmier, Neil Duram, Rhonda Knudsen, Bill Mercer, Jason Ellsworth, Kenneth Bogner, Steve Gist, Marta Bertoglio, Jane Gillette, Kerri Seekins-Crowe, Kenneth Walsh, Marty Malone, Ron Marshall, Braxton Mitchell, Jennifer Carlson, Linda Reksten, Fiona Nave, Jerry Schillinger, Michele Binkley, Larry Brewster, Paul Fielder, Steven Galloway, Caleb Hinkle, Scot Kerns, Brandon Ler, Bob Phalen, Amy Regier, Katie Zolnikov, Chris Friedel, Brad Molnar, Sherry Essmann, Mike Yakawich, George Nikolakakos, James Bergstrom, Greg Oblander, Tony Brockman, Gary Parry, Greg Kmetz, Nelly Nicol, Paul Green, Terry Falk, Brad Barker, Jodee Etchart, Russ Miner, Courtenay Sprunger, Daniel Emrich, Wayne Rusk, Shelley Vance, Lyn Hellegaard, Lee Deming, Tanner Smith, Zachary Wirth, Naarah Hastings","Jill Cohenour, Edie Mcclafferty, Mary Caferro, Jonathan Windy Boy, Sharon Stewart Peregoy, Dan Salomon, Frank Smith, Ellie Boldman, Ryan Lynch, Jeff Welborn, Denise Hayman, Katharin Kelker, Mary Ann Dunwell, Willis Curdy, Susan Webber, Janet Ellis, Andrea Olsen, Christopher Pope, Kim Abbott, Dave Fern, Jim Hamilton, Jen Gross, Laurie Bishop, Shane Morigeau, Russ Tempel, Pat Flowers, Katie Sullivan, Marilyn Marler, Derek Harvey, Connie Keogh, Emma Kerr-Carpenter, Marvin Weatherwax, Mike Fox, Gregory Frazer, Donavon Hawk, Ed Stafman, Alice Buckley, Tom France, Kelly Kortum, Mark Thane, Shannon O'Brien, John Fitzpatrick, Jennifer Lynch, Paul Tuss, Denise Baum, Bob Carter, SJ Howell, Jonathan Karlen, Melissa Romano, Eric Matthews, Zooey Zephyr, Terry Vermeire"
MT HB400,Passed,Passed,"This bill states that students and employees of public or charter schools may not be required to use personal pronouns or names for another person that are ""inconsistent with a person's sex"", provide their own personal titles or pronouns, or face adverse personnel action as a result of their refusal to do so. If any given section of this bill is found to be illegal, the rest of the bill remains in effect. This bill goes into effect immediately upon signing.",Montana,https://legiscan.com/MT/bill/HB400/2025,5/1/2025,,Braxton Mitchell,Student Suppression,,
MT HB638,Passed,Passed,"This bill prohibits state and local government agencies, including school districts, from requiring employees or applicants to submit a statement on diversity, equity, and inclusion (DEI). The bill also prohibits state and local agencies from granting “any form of preferential consideration or treatment” to someone who provides a diversity statement. ",Montana,https://legiscan.com/MT/bill/HB638/2025,5/1/2025,,Randyn Gregg,Other,,
MT HB682,Passed,Passed,"This bill would establish a cause of action against any medical practitioner who provides or prescribes treatments to patients under 18 for any transition-related care.This includes puberty blockers, surgeries, and hormone replacement therapy. Patients can sue for any potential or perceived damages up to the age of 43 or 4 years after the discovery of the injury, whichever is later. This can cause many providers to refuse service due to the open-ended and long-term risk to their practice. It also requires health care insurers to provide coverage for detransition procedures if the insurance provider covers gender-affirming care.",Montana,https://legiscan.com/MT/bill/HB682/2025,5/13/2025,,Greg Kmetz,Health Care,,
MT HB690,Passed,Passed,"This bill amends the state's child abuse and neglect statute to EXCLUDE the refusal by the child's parent, legal guardian, or other person responsible for the child's care, custody, or welfare from (1) refusing to affirm the child's sexual orientation or gender identity or (2) address the child by their preferred name or pronouns, regardless of whether the child has legally changed their name. 
",Montana,https://legiscan.com/MT/bill/HB690/2025,5/13/2025,,Bill Mercer,"Health Care,Other",,
MT SB99,Passed,Injuncted,"This bill bans all medical care done for transition purposes for minors (under the age of 18). It mandates that no physician or other health care professional shall be allowed to provide, prescribe, or refer treatments to patients under 18 for any transition-related care. This ban includes puberty blockers, surgeries, and hormone replacement therapy. The bill also specifically allows for ""corrective"" procedures for intersex traits. Other exceptions include injuries, illness, or when there is an imminent danger of death without treatment. Violations are considered unprofessional conduct by a medical professional and subject to disciplinary action. This bill also prevents public funds from being given to any organization that provides trans health care to minors in any capacity, and it prevents health insurance companies from paying for trans health care treatments for any minor.",Montana,https://legiscan.com/MT/bill/SB99/2023,4/28/2023,,John Fuller,Health Care,"Llew Jones, Tom Mcgillvray, Edward Butcher, John Esp, Steve Fitzpatrick, Keith Regier, Mike Cuffe, Ed Buttrey, Joe Read, Greg Hertz, Carl Glimm, Mike Lang, Dennis Lenz, Daniel Zolnikov, Wendy McKamey, Forrest Mandeville, Theresa Manzella, Mark Noland, Bob Brown, Jedediah Hinkle, Bob Keenan, Tom Welch, Denley Loge, Fred Anderson, Dan Bartel, Becky Beard, Ross Fitzgerald, Steve Gunderson, Casey Knudsen, Walt Sales, Lola Sheldon-Galloway, Jeremy Trebas, Barry Usher, Sue Vinton, Steve Hinebauch, Jason Small, Matt Regier, Russ Tempel, Terry Moore, David Bedey, Julie Dooling, Bruce (Butch) Gillespie, John Fuller, Josh Kassmier, Neil Duram, Rhonda Knudsen, Bill Mercer, Jason Ellsworth, Kenneth Bogner, Steve Gist, Marta Bertoglio, Jane Gillette, Kenneth Walsh, Marty Malone, Ron Marshall, Braxton Mitchell, Jennifer Carlson, Linda Reksten, Fiona Nave, Jerry Schillinger, Michele Binkley, Larry Brewster, Paul Fielder, Steven Galloway, Caleb Hinkle, Scot Kerns, Brandon Ler, Bob Phalen, Amy Regier, Katie Zolnikov, Chris Friedel, Brad Molnar, Sherry Essmann, Mike Yakawich, George Nikolakakos, James Bergstrom, Greg Oblander, Tony Brockman, Gary Parry, Greg Kmetz, Nelly Nicol, Paul Green, Terry Falk, John Fitzpatrick, Brad Barker, Jodee Etchart, Russ Miner, Courtenay Sprunger, Wayne Rusk, Shelley Vance, Lyn Hellegaard, Lee Deming, Tanner Smith, Zachary Wirth, Terry Vermeire, Naarah Hastings","Jill Cohenour, Edie Mcclafferty, Mary Caferro, Jonathan Windy Boy, Sharon Stewart Peregoy, Dan Salomon, Frank Smith, Ellie Boldman, Ryan Lynch, Jeff Welborn, Denise Hayman, Katharin Kelker, Mary Ann Dunwell, Willis Curdy, Susan Webber, Janet Ellis, Andrea Olsen, Christopher Pope, Kim Abbott, Dave Fern, Jim Hamilton, Laurie Bishop, Mike Hopkins, Shane Morigeau, Pat Flowers, Katie Sullivan, Marilyn Marler, Derek Harvey, Connie Keogh, Emma Kerr-Carpenter, Tyson Running Wolf, Mike Fox, Gregory Frazer, Donavon Hawk, Ed Stafman, Alice Buckley, Tom France, Kelly Kortum, Mark Thane, Shannon O'Brien, Jennifer Lynch, Paul Tuss, Denise Baum, Bob Carter, SJ Howell, Jonathan Karlen, Melissa Romano, Laura Smith, Eric Matthews, Zooey Zephyr"
MT SB215,Passed,Passed,"This bill mandates that the state or local government may not implement or apply any rule or law that may “substantially burden a person's right to the exercise of religion.” In this bill, “exercise of religion” includes “the ability to act or refuse to act in a manner substantially motivated by one's sincerely held religious belief, whether or not the exercise is compulsory or central to a larger system of religious belief.” The bill further states that people may sue the state or local government if they feel that their right to exercise their religion has been constrained in any way by the government.",Montana,https://legiscan.com/MT/bill/SB215/2021,4/22/2021,,Carl Glimm,Other,"Mary Caferro, Tom Mcgillvray, John Esp, Jonathan Windy Boy, Sharon Stewart Peregoy, Steve Fitzpatrick, Keith Regier, Frank Smith, Mike Cuffe, Greg Hertz, Carl Glimm, Mike Lang, Denise Hayman, Katharin Kelker, Mary Ann Dunwell, Willis Curdy, Andrea Olsen, Wendy McKamey, Theresa Manzella, Bob Brown, Bob Keenan, Tom Welch, Kim Abbott, Dave Fern, Jim Hamilton, Laurie Bishop, Ross Fitzgerald, Mike Hopkins, Walt Sales, Steve Hinebauch, Jason Small, Julie Dooling, Katie Sullivan, Marilyn Marler, Bruce (Butch) Gillespie, Derek Harvey, Connie Keogh, Emma Kerr-Carpenter, Tyson Running Wolf, Marvin Weatherwax, Jason Ellsworth, Kenneth Bogner, Gregory Frazer, Donavon Hawk, Kenneth Walsh, Ed Stafman, Alice Buckley, Tom France, Kelly Kortum, Mark Thane, Katie Zolnikov, Chris Friedel, Brad Molnar","Llew Jones, Jill Cohenour, Edie Mcclafferty, Dan Salomon, Ed Buttrey, Ellie Boldman, Joe Read, Ryan Lynch, Jeff Welborn, Dennis Lenz, Susan Webber, Janet Ellis, Mark Noland, Christopher Pope, Jedediah Hinkle, Denley Loge, Jen Gross, Fred Anderson, Dan Bartel, Becky Beard, Steve Gunderson, Casey Knudsen, Shane Morigeau, Lola Sheldon-Galloway, Jeremy Trebas, Barry Usher, Sue Vinton, Matt Regier, Russ Tempel, Pat Flowers, Terry Moore, David Bedey, John Fuller, Josh Kassmier, Neil Duram, Rhonda Knudsen, Bill Mercer, Steve Gist, Marta Bertoglio, Mike Fox, Jane Gillette, Kerri Seekins-Crowe, Marty Malone, Ron Marshall, Braxton Mitchell, Jennifer Carlson, Linda Reksten, Fiona Nave, Jerry Schillinger, Michele Binkley, Larry Brewster, Paul Fielder, Steven Galloway, Caleb Hinkle, Scot Kerns, Brandon Ler, Bob Phalen, Amy Regier, Shannon O'Brien"
MT SB218,Passed,Passed,"This bill would increase the liability for any medical practitioner who provides or prescribes treatments to patients for any transition-related care.. This includes puberty blockers, surgeries, and hormone replacement therapy. Patients can sue for any potential or perceived damages up to 25 years after the date of the last treatment.. This can cause many providers to refuse service due to the open-ended and long-term risk to their practice.",Montana,https://legiscan.com/MT/bill/SB218/2025,5/8/2025,,John Fuller,Health Care,,
MT SB280,Passed,Passed,"This bill requires that for a person born in Montana to change the sex designation on their birth certificate, they must provide a certified copy of a court order stating that they underwent a surgical procedure to “change their sex”. There is no additional explanation given for what specific surgical procedures would fulfill this requirement.",Montana,https://legiscan.com/MT/bill/SB280/2021,4/30/2021,,Carl Glimm,Documents,"Llew Jones, Tom Mcgillvray, John Esp, Steve Fitzpatrick, Dan Salomon, Keith Regier, Mike Cuffe, Joe Read, Greg Hertz, Carl Glimm, Mike Lang, Dennis Lenz, Wendy McKamey, Theresa Manzella, Mark Noland, Bob Brown, Jedediah Hinkle, Bob Keenan, Denley Loge, Dan Bartel, Becky Beard, Steve Gunderson, Casey Knudsen, Walt Sales, Lola Sheldon-Galloway, Jeremy Trebas, Barry Usher, Sue Vinton, Steve Hinebauch, Matt Regier, Russ Tempel, Terry Moore, David Bedey, Julie Dooling, Bruce (Butch) Gillespie, John Fuller, Josh Kassmier, Neil Duram, Rhonda Knudsen, Bill Mercer, Jason Ellsworth, Kenneth Bogner, Steve Gist, Jane Gillette, Kerri Seekins-Crowe, Marty Malone, Ron Marshall, Braxton Mitchell, Jennifer Carlson, Linda Reksten, Fiona Nave, Jerry Schillinger, Michele Binkley, Larry Brewster, Paul Fielder, Steven Galloway, Caleb Hinkle, Scot Kerns, Brandon Ler, Bob Phalen, Amy Regier, Katie Zolnikov, Chris Friedel","Jill Cohenour, Edie Mcclafferty, Mary Caferro, Jonathan Windy Boy, Sharon Stewart Peregoy, Frank Smith, Ed Buttrey, Ellie Boldman, Ryan Lynch, Jeff Welborn, Denise Hayman, Katharin Kelker, Mary Ann Dunwell, Willis Curdy, Susan Webber, Janet Ellis, Andrea Olsen, Christopher Pope, Tom Welch, Kim Abbott, Dave Fern, Jim Hamilton, Jen Gross, Laurie Bishop, Fred Anderson, Ross Fitzgerald, Mike Hopkins, Shane Morigeau, Jason Small, Pat Flowers, Katie Sullivan, Marilyn Marler, Derek Harvey, Connie Keogh, Emma Kerr-Carpenter, Tyson Running Wolf, Marvin Weatherwax, Marta Bertoglio, Mike Fox, Gregory Frazer, Donavon Hawk, Kenneth Walsh, Ed Stafman, Alice Buckley, Tom France, Kelly Kortum, Mark Thane, Shannon O'Brien, Brad Molnar"
MT SB458,Passed,Injuncted,"This bill codifies the definitions of ""male"" and ""female"" in Montana law. It states that a person's sex is determined by their reproductive system under ""normal development"" and that sex is determined at birth and cannot be changed. The bill defines a woman as someone with the reproductive organs to produce an egg and a man as someone with the reproductive organs to produce sperm. The language of the bill results in the exclusion of transgender people from legal protections against discrimination.",Montana,https://legiscan.com/MT/bill/SB458/2023,5/22/2023,,Carl Glimm,"Trans Erasure,Documents,Bathrooms","Llew Jones, Tom Mcgillvray, Edward Butcher, John Esp, Steve Fitzpatrick, Keith Regier, Mike Cuffe, Greg Hertz, Carl Glimm, Mike Lang, Dennis Lenz, Daniel Zolnikov, Forrest Mandeville, Theresa Manzella, Mark Noland, Bob Brown, Jedediah Hinkle, Bob Keenan, Denley Loge, Fred Anderson, Dan Bartel, Becky Beard, Ross Fitzgerald, Steve Gunderson, Walt Sales, Lola Sheldon-Galloway, Jeremy Trebas, Barry Usher, Sue Vinton, Steve Hinebauch, Matt Regier, Terry Moore, David Bedey, Julie Dooling, Bruce (Butch) Gillespie, John Fuller, Josh Kassmier, Neil Duram, Rhonda Knudsen, Bill Mercer, Jason Ellsworth, Kenneth Bogner, Steve Gist, Marta Bertoglio, Jane Gillette, Marty Malone, Ron Marshall, Braxton Mitchell, Jennifer Carlson, Linda Reksten, Fiona Nave, Jerry Schillinger, Michele Binkley, Larry Brewster, Paul Fielder, Steven Galloway, Caleb Hinkle, Scot Kerns, Brandon Ler, Bob Phalen, Amy Regier, Katie Zolnikov, Chris Friedel, Brad Molnar, Sherry Essmann, Mike Yakawich, George Nikolakakos, James Bergstrom, Greg Oblander, Tony Brockman, Gary Parry, Greg Kmetz, Nelly Nicol, Paul Green, Terry Falk, John Fitzpatrick, Brad Barker, Jodee Etchart, Russ Miner, Courtenay Sprunger, Daniel Emrich, Wayne Rusk, Shelley Vance, Lyn Hellegaard, Lee Deming, Tanner Smith, Zachary Wirth, Naarah Hastings","Jill Cohenour, Edie Mcclafferty, Mary Caferro, Jonathan Windy Boy, Sharon Stewart Peregoy, Dan Salomon, Frank Smith, Ellie Boldman, Ryan Lynch, Jeff Welborn, Denise Hayman, Katharin Kelker, Mary Ann Dunwell, Willis Curdy, Susan Webber, Janet Ellis, Andrea Olsen, Wendy McKamey, Christopher Pope, Tom Welch, Kim Abbott, Dave Fern, Jim Hamilton, Jen Gross, Laurie Bishop, Mike Hopkins, Shane Morigeau, Jason Small, Russ Tempel, Pat Flowers, Katie Sullivan, Marilyn Marler, Derek Harvey, Connie Keogh, Emma Kerr-Carpenter, Tyson Running Wolf, Marvin Weatherwax, Mike Fox, Gregory Frazer, Donavon Hawk, Kenneth Walsh, Ed Stafman, Alice Buckley, Tom France, Kelly Kortum, Mark Thane, Shannon O'Brien, Jennifer Lynch, Paul Tuss, Denise Baum, Bob Carter, SJ Howell, Jonathan Karlen, Melissa Romano, Laura Smith, Eric Matthews, Zooey Zephyr, Terry Vermeire"
